Losowe
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
4000,0.0470428466796875
8000,0.10009145736694336
12000,0.15414047241210938
16000,0.21019220352172852
20000,0.2658388614654541
24000,0.3222932815551758
28000,0.3845837116241455
32000,0.4393620491027832
36000,0.500455379486084
40000,0.5565059185028076
44000,0.6165609359741211
48000,0.6766157150268555
52000,0.7526843547821045
56000,0.8047311305999756
60000,0.8637912273406982
0,0.0
4000,0.0470428466796875
8000,0.099090576171875
12000,0.1531386375427246
16000,0.20769524574279785
20000,0.26525092124938965
24000,0.3298475742340088
28000,0.3813469409942627
32000,0.4435861110687256
36000,0.501983642578125
40000,0.560516357421875
44000,0.6215651035308838
48000,0.6796188354492188
52000,0.7356686592102051
56000,0.8107378482818604
60000,0.8627851009368896
0,0.0
4000,0.047041893005371094
8000,0.10209321975708008
12000,0.15213727951049805
16000,0.2081894874572754
20000,0.2648005485534668
24000,0.3228027820587158
28000,0.3833489418029785
32000,0.4374818801879883
36000,0.49898815155029297
40000,0.5659897327423096
44000,0.6255693435668945
48000,0.6756134033203125
52000,0.7356686592102051
56000,0.7997269630432129
60000,0.8808014392852783
0,0.0
4000,0.04904484748840332
8000,0.09808826446533203
12000,0.15414071083068848
16000,0.20919060707092285
20000,0.2652416229248047
24000,0.3242950439453125
28000,0.38034605979919434
32000,0.4679441452026367
36000,0.49746084213256836
40000,0.5575070381164551
44000,0.6286847591400146
48000,0.6819825172424316
52000,0.7429461479187012
56000,0.7960336208343506
60000,0.8757100105285645
0,0.0
4000,0.0470430850982666
8000,0.10509514808654785
12000,0.1561417579650879
16000,0.21419477462768555
20000,0.3022737503051758
24000,0.3238039016723633
28000,0.3848562240600586
32000,0.43739795684814453
36000,0.4994542598724365
40000,0.5575637817382812
44000,0.624652624130249
48000,0.6794710159301758
52000,0.7355544567108154
56000,0.8039226531982422
60000,0.8629510402679443
Ponownie posortowany/rosn¹ce
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
4000,0.04294753074645996
8000,0.09199404716491699
12000,0.14695072174072266
16000,0.1980891227722168
20000,0.2549591064453125
24000,0.2940235137939453
28000,0.3543226718902588
32000,0.40236616134643555
36000,0.44940829277038574
40000,0.5044584274291992
44000,0.5605103969573975
48000,0.6155588626861572
52000,0.673614501953125
56000,0.7209291458129883
60000,0.7827117443084717
0,0.0
4000,0.04303908348083496
8000,0.09008193016052246
12000,0.13912653923034668
16000,0.19017314910888672
20000,0.23921751976013184
24000,0.299271821975708
28000,0.34831666946411133
32000,0.39936327934265137
36000,0.45227885246276855
40000,0.5072681903839111
44000,0.5615108013153076
48000,0.6185622215270996
52000,0.6696090698242188
56000,0.7196543216705322
60000,0.7821695804595947
0,0.0
4000,0.04204297065734863
8000,0.09099340438842773
12000,0.13888287544250488
16000,0.1898965835571289
20000,0.24083757400512695
24000,0.2940821647644043
28000,0.3469502925872803
32000,0.40436792373657227
36000,0.45641541481018066
40000,0.5024569034576416
