Poczatek
Losowe
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
4000,0.11810803413391113
8000,0.24822568893432617
12000,0.3883652687072754
16000,0.5466885566711426
20000,0.7016382217407227
24000,0.8547773361206055
28000,1.0059151649475098
32000,1.1650595664978027
36000,1.3232040405273438
40000,1.5257494449615479
44000,1.6685385704040527
48000,1.8266627788543701
52000,1.9848058223724365
56000,2.166020631790161
60000,2.3401520252227783
0,0.0
4000,0.11310315132141113
8000,0.2472248077392578
12000,0.3913559913635254
16000,0.5474984645843506
20000,0.70664381980896
24000,0.8477709293365479
28000,0.9969069957733154
32000,1.1620573997497559
36000,1.3227229118347168
40000,1.4903676509857178
44000,1.660524845123291
48000,1.8096461296081543
52000,2.0048234462738037
56000,2.2067086696624756
60000,2.370168685913086
0,0.0
4000,0.11710619926452637
8000,0.24822664260864258
12000,0.39936304092407227
16000,0.5454967021942139
20000,0.6976349353790283
24000,0.8463015556335449
28000,0.9999589920043945
32000,1.1680772304534912
36000,1.323225975036621
40000,1.499363899230957
44000,1.6565072536468506
48000,1.8281841278076172
52000,1.9943413734436035
56000,2.1639933586120605
60000,2.393277406692505
0,0.0
4000,0.1156313419342041
8000,0.26517391204833984
12000,0.4439239501953125
16000,0.5883138179779053
20000,0.6971378326416016
24000,0.8523261547088623
28000,1.0029127597808838
32000,1.1770710945129395
36000,1.3352618217468262
40000,1.4863078594207764
44000,1.6616487503051758
48000,1.859238862991333
52000,1.9873135089874268
56000,2.1786904335021973
60000,2.352705717086792
0,0.0
4000,0.11510467529296875
8000,0.2472248077392578
12000,0.39197468757629395
16000,0.5446090698242188
20000,0.6911413669586182
24000,0.8501543998718262
28000,1.0077292919158936
32000,1.1620736122131348
36000,1.327631950378418
40000,1.4930925369262695
44000,1.6735553741455078
48000,1.9161224365234375
52000,2.055081605911255
56000,2.274557113647461
60000,2.498011589050293
Ponownie posortowany/rosn¹ce
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
4000,0.1253955364227295
8000,0.2952237129211426
12000,0.44184112548828125
16000,0.5890271663665771
20000,0.729663610458374
24000,0.9318907260894775
28000,1.0819745063781738
32000,1.2232944965362549
36000,1.3988044261932373
40000,1.569723129272461
44000,1.7442445755004883
48000,1.952929973602295
52000,2.108297109603882
56000,2.2564520835876465
60000,2.4319238662719727
0,0.0
4000,0.1211094856262207
8000,0.26123785972595215
12000,0.42238402366638184
16000,0.5665159225463867
20000,0.7386941909790039
24000,0.8936185836791992
28000,1.0630338191986084
32000,1.211428165435791
36000,1.4106101989746094
40000,1.5556445121765137
44000,1.7345778942108154
48000,1.894723653793335
52000,2.079055070877075
56000,2.240553379058838
60000,2.426229953765869
0,0.0
4000,0.11910748481750488
8000,0.26323962211608887
12000,0.40937209129333496
16000,0.5645134449005127
20000,0.7206554412841797
24000,0.8979520797729492
28000,1.0499267578125
32000,1.2060976028442383
36000,1.38926362991333
40000,1.557565450668335
44000,1.7478196620941162
48000,1.9726746082305908
52000,2.1149303913116455
56000,2.2853307723999023
60000,2.4579224586486816
0,0.0
4000,0.12812280654907227
8000,0.26124000549316406
12000,0.41538453102111816
16000,0.5896296501159668
20000,0.732184648513794
24000,0.8892388343811035
28000,1.0679786205291748
32000,1.2255022525787354
36000,1.3942909240722656
40000,1.5805153846740723
44000,1.7651782035827637
48000,1.9267528057098389
52000,2.107868194580078
56000,2.325195550918579
60000,2.455237627029419
0,0.0
4000,0.12010908126831055
8000,0.26424074172973633
12000,0.4103732109069824
16000,0.5675160884857178
20000,0.7266402244567871
24000,0.8942601680755615
28000,1.0619664192199707
32000,1.228116750717163
36000,1.3887832164764404
40000,1.552415132522583
44000,1.737783432006836
48000,1.9137747287750244
52000,2.0784358978271484
56000,2.2570533752441406
60000,2.433778762817383
Malejace
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
4000,0.10709667205810547
8000,0.23621511459350586
12000,0.37134647369384766
16000,0.5104646682739258
20000,0.6596012115478516
24000,0.8037312030792236
28000,0.9588718414306641
32000,1.1140215396881104
36000,1.2631492614746094
40000,1.4137907028198242
44000,1.5769617557525635
48000,1.727571725845337
52000,1.8878474235534668
56000,2.0653879642486572
60000,2.23939847946167
0,0.0
4000,0.1071012020111084
8000,0.23521804809570312
12000,0.37233781814575195
16000,0.5254480838775635
20000,0.6656196117401123
24000,0.8057518005371094
28000,0.9792075157165527
32000,1.1300477981567383
36000,1.281083583831787
40000,1.430574893951416
44000,1.5877108573913574
48000,1.7356832027435303
52000,1.9204380512237549
56000,2.0871245861053467
60000,2.2457571029663086
0,0.0
4000,0.10660362243652344
8000,0.23572707176208496
12000,0.37592291831970215
16000,0.5209975242614746
20000,0.6541719436645508
24000,0.8107626438140869
28000,0.9694161415100098
32000,1.114558458328247
36000,1.2568175792694092
40000,1.4123647212982178
44000,1.5927648544311523
48000,1.7224986553192139
52000,1.912614107131958
56000,2.0304861068725586
60000,2.205016613006592
0,0.0
4000,0.10709762573242188
8000,0.23421287536621094
12000,0.3693363666534424
16000,0.5074625015258789
20000,0.6686081886291504
24000,0.82778000831604
28000,0.9564051628112793
32000,1.1240234375
36000,1.2705252170562744
40000,1.4083011150360107
44000,1.5704295635223389
48000,1.7191450595855713
52000,1.894723653793335
56000,2.0357673168182373
60000,2.1949970722198486
0,0.0
4000,0.10609650611877441
8000,0.2352135181427002
12000,0.36733484268188477
16000,0.5094633102416992
20000,0.6541008949279785
24000,0.8047816753387451
28000,0.9518649578094482
32000,1.103013038635254
36000,1.2501368522644043
40000,1.4175407886505127
44000,1.5694279670715332
