Prawy
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
4000,0.055049896240234375
8000,0.1311190128326416
12000,0.1931760311126709
16000,0.2892634868621826
20000,0.3543219566345215
24000,0.43639707565307617
28000,0.5625119209289551
32000,0.6275711059570312
36000,0.7116470336914062
40000,0.7977256774902344
44000,0.8747961521148682
48000,0.9828946590423584
52000,1.098998785018921
56000,1.2171075344085693
60000,1.279172420501709
0,0.0
4000,0.05504965782165527
8000,0.12511396408081055
12000,0.19617915153503418
16000,0.2802541255950928
20000,0.3593275547027588
24000,0.44240880012512207
28000,0.5535035133361816
32000,0.6145589351654053
36000,0.7036402225494385
40000,0.7996721267700195
44000,0.8547775745391846
48000,0.9638793468475342
52000,1.0849864482879639
56000,1.1700561046600342
60000,1.287170648574829
0,0.0
4000,0.05404925346374512
8000,0.12311148643493652
12000,0.19717979431152344
16000,0.2762596607208252
20000,0.36032795906066895
24000,0.4383978843688965
28000,0.5444951057434082
32000,0.611555814743042
36000,0.6936302185058594
40000,0.7767064571380615
44000,0.9118289947509766
48000,0.9718930721282959
52000,1.0789823532104492
56000,1.1800732612609863
60000,1.2761695384979248
0,0.0
4000,0.05505013465881348
8000,0.12711477279663086
12000,0.20118260383605957
16000,0.2842586040496826
20000,0.35732483863830566
24000,0.4624204635620117
28000,0.5484988689422607
32000,0.6265690326690674
36000,0.7036392688751221
40000,0.7867155075073242
44000,0.8908107280731201
48000,1.0279350280761719
52000,1.1150155067443848
56000,1.167062520980835
60000,1.3021843433380127
0,0.0
4000,0.05505084991455078
8000,0.12311196327209473
12000,0.19517779350280762
16000,0.28125500679016113
20000,0.37233901023864746
24000,0.4414100646972656
28000,0.5565059185028076
32000,0.6355783939361572
36000,0.7226569652557373
40000,0.7997298240661621
44000,0.8848049640655518
48000,1.006915807723999
52000,1.1180174350738525
56000,1.2501368522644043
60000,1.2661519050598145
Losowy
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
4000,0.06606054306030273
8000,0.11009931564331055
12000,0.16414856910705566
16000,0.23421406745910645
20000,0.30027294158935547
24000,0.339308500289917
28000,0.4063699245452881
32000,0.46642422676086426
36000,0.5324835777282715
40000,0.5825295448303223
44000,0.659600019454956
48000,0.7306649684906006
52000,0.7877249717712402
56000,0.8307466506958008
60000,0.906825065612793
0,0.0
4000,0.0520474910736084
8000,0.10809874534606934
12000,0.1661515235900879
16000,0.21919965744018555
20000,0.30628013610839844
24000,0.3493180274963379
28000,0.398362398147583
32000,0.4664325714111328
36000,0.5334854125976562
40000,0.5905370712280273
44000,0.6445860862731934
48000,0.7196545600891113
52000,0.7797091007232666
56000,0.844768762588501
60000,0.9198274612426758
0,0.0
4000,0.05304837226867676
8000,0.10809826850891113
12000,0.16214776039123535
16000,0.22420382499694824
20000,0.2892632484436035
24000,0.34030890464782715
28000,0.4013650417327881
32000,0.45941781997680664
36000,0.5244786739349365
40000,0.589536190032959
44000,0.6596002578735352
48000,0.7146506309509277
52000,0.77870774269104
56000,0.8497729301452637
60000,0.8968155384063721
0,0.0
4000,0.051047325134277344
8000,0.10609650611877441
12000,0.16414904594421387
16000,0.22420406341552734
20000,0.2972707748413086
24000,0.34331393241882324
28000,0.41437745094299316
32000,0.4674258232116699
36000,0.5234766006469727
40000,0.5875349044799805
44000,0.6485893726348877
48000,0.7086443901062012
52000,0.7797091007232666
56000,0.8207371234893799
60000,0.8998184204101562
0,0.0
4000,0.052046775817871094
8000,0.10609602928161621
12000,0.16014480590820312
16000,0.22020888328552246
20000,0.2992720603942871
24000,0.3413107395172119
28000,0.4133765697479248
32000,0.4624204635620117
36000,0.5284807682037354
40000,0.5925378799438477
44000,0.6495904922485352
48000,0.733666181564331
52000,0.7847139835357666
56000,0.8347597122192383
60000,0.9358513355255127
Srodkowy
Wartosc kroku,Czas wykonywania algorytmu
Srodkowy
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
4000,0.10509538650512695
8000,0.18216562271118164
12000,0.3272974491119385
16000,0.38735151290893555
20000,0.6606009006500244
24000,0.9909017086029053
28000,0.8617839813232422
32000,0.951873779296875
36000,1.3982722759246826
40000,2.240037679672241
44000,1.5534131526947021
48000,1.9788002967834473
52000,1.962785243988037
56000,3.0437686443328857
60000,2.5773446559906006
Srodkowy
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
4000,0.08808016777038574
8000,0.20118331909179688
12000,0.40737128257751465
16000,0.5314826965332031
20000,0.5234766006469727
24000,0.6025478839874268
28000,0.8667886257171631
32000,1.010920763015747
36000,1.364241123199463
40000,1.184077262878418
44000,2.2600555419921875
48000,1.4613285064697266
52000,2.4752519130706787
56000,2.0959062576293945
60000,2.1749789714813232
0,0.0
4000,0.08107328414916992
8000,0.21719694137573242
12000,0.277252197265625
16000,0.44240283966064453
20000,0.5064609050750732
24000,0.7356693744659424
28000,0.7707006931304932
32000,0.96687912940979
36000,1.141038179397583
40000,1.2831676006317139
44000,1.3582353591918945
48000,1.7455880641937256
52000,1.8082215785980225
56000,1.8626947402954102
60000,2.139946699142456
0,0.0
4000,0.08807969093322754
8000,0.19217514991760254
12000,0.3142857551574707
16000,0.3813471794128418
20000,0.5484988689422607
24000,0.8938138484954834
28000,1.1670629978179932
32000,1.0479538440704346
36000,1.0569698810577393
40000,1.209099531173706
44000,1.3872616291046143
48000,1.7185554504394531
52000,1.5934674739837646
56000,2.598363161087036
60000,2.0548696517944336
0,0.0
4000,0.08107352256774902
8000,0.20019936561584473
12000,0.28125619888305664
16000,0.3913557529449463
20000,0.5294816493988037
24000,1.0489542484283447
28000,0.9758882522583008
32000,1.1750690937042236
36000,1.1780717372894287
40000,1.843677282333374
44000,1.6801695823669434
48000,1.5838475227355957
52000,1.6675169467926025
56000,2.23403263092041
60000,1.9537773132324219
0,0.0
4000,0.08807992935180664
8000,0.21719813346862793
12000,0.2902641296386719
16000,0.48644208908081055
20000,0.5184714794158936
24000,0.6135580539703369
28000,1.208099365234375
32000,1.1150143146514893
36000,1.0589637756347656
40000,1.1750690937042236
44000,1.544412612915039
48000,1.6755249500274658
52000,2.152578115463257
56000,2.1679720878601074
60000,2.874614715576172
