Poczatek
Losowe
Wartosc kroku,Czas wykonywania algorytmu
"0; 0,000; 0,000; 0,000; 0,000; 0,000"
"4000; 0,000; 0,000; 0,000; 0,000; 0,000"
"8000; 0,215; 0,159; 0,154; 0,177; 0,165"
"12000; 0,342; 0,338; 0,388; 0,371; 0,353"
"16000; 0,569; 0,563; 0,554; 0,527; 0,545"
"20000; 0,743; 0,751; 0,741; 0,746; 0,746"
"24000; 0,961; 0,972; 0,931; 0,959; 0,946"
"28000; 1,170; 1,158; 1,156; 1,171; 1,171"
"32000; 1,383; 1,367; 1,362; 1,806; 1,508"
