prawy
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
2000,0.02602362632751465
4000,0.05504965782165527
6000,0.0940861701965332
8000,0.131119966506958
10000,0.16014671325683594
12000,0.20118236541748047
14000,0.23921728134155273
16000,0.29026341438293457
18000,0.3162875175476074
20000,0.3513200283050537
22000,0.40236687660217285
24000,0.4384000301361084
26000,0.511465311050415
28000,0.5304825305938721
30000,0.5895366668701172
32000,0.6285707950592041
34000,0.6766140460968018
36000,0.6996357440948486
38000,0.7586889266967773
40000,0.7807092666625977
srodko
Wartosc kroku,Czas wykonywania algorytmu
srodko
Wartosc kroku,Czas wykonywania algorytmu
srodko
Wartosc kroku,Czas wykonywania algorytmu
