Losowe
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
1000,0.08807921409606934
2000,0.3463156223297119
3000,0.8067340850830078
4000,1.456935167312622
5000,2.1073319911956787
Ponownie posortowany/rosn¹ce
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
1000,0.0
2000,0.0009844303131103516
3000,0.0010008811950683594
4000,0.0010008811950683594
5000,0.002001523971557617
Malejace
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
1000,0.16515064239501953
2000,0.671583890914917
3000,1.6027114391326904
4000,3.02040958404541
5000,4.209238767623901
Stale
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
1000,0.0
2000,0.0
3000,0.0010013580322265625
4000,0.0009999275207519531
5000,0.0010013580322265625
Rozklad V
Wartosc kroku,Czas wykonywania algorytmu
0,0.0
1000,0.08164501190185547
2000,0.35031914710998535
3000,0.8027019500732422
4000,1.3512294292449951
5000,2.1055307388305664
